,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,2002,27.892440123280107,45.56728799945428,1808.75,1420.4621680033595
4,2003,23.663747096343585,69.23103509579786,1947.1794431706282,1421.4433639049264
5,2004,12.654731002641695,81.88576609843956,2021.2077599472411,1421.9680808969003
6,2005,10.904930343879489,92.79069644231905,2085.0,1422.4202439848814
7,2006,14.189485841897985,106.98018228421704,2168.0064070569347,1423.0085982001597
8,2007,16.162931671422637,123.14311395563968,2262.557182222448,1423.6787795644523
9,2008,11.13456001881748,134.27767397445714,2327.6927221299466,1424.140464039516
10,2009,8.84563165093411,143.12330562539125,2379.438367439032,1424.5072401670384
11,2010,11.671790086493374,154.79509571188464,2447.71662429749,1424.991200401662
12,2011,8.6425925380966,163.43768824998125,2498.2745206326904,1425.3495576957441
13,2012,10.750023266038319,174.18771151601956,2561.160577043381,1425.7952977016462
14,2013,10.585891528219083,184.77360304423866,2623.0864869066786,1426.234232133274
15,2014,11.952045115291003,196.72564815952967,2693.004194500655,1426.729812889556
16,2015,11.72586368570611,208.45151184523579,2761.5987739684942,1427.2160152371343
17,2016,5.156772738881011,213.6082845841168,2791.765136712925,1427.429836161441
18,2017,4.2592194727017185,217.86750405681852,2816.680944743966,1427.6064408501861
19,2018,6.193594771939547,224.06109882875808,2852.912564022748,1427.8632526636934
20,2019,5.492581591236086,229.55368041999415,2885.043359206979,1428.0909975987793
21,2020,3.4527940002726294,233.00647442026678,2905.241696727011,1428.2341645836286
22,2021,3.536800955529972,236.54327537579675,2925.931462590635,1428.3808148410073
23,2022,2.7985346491608696,239.34181002495762,2942.3024790488403,1428.4968535527537
