,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,1974,20.74825332701931,62.69554508375121,1882.2286679444828,1484.1267240942518
4,1975,14.788737124668668,77.48428220841988,1976.1367175206835,1483.8421542470512
5,1976,14.855372406478693,92.33965461489858,2070.467899193627,1483.5563021813757
6,1977,11.760045386774557,104.09970000167314,2145.14384453567,1483.330011437915
7,1978,13.330972483472966,117.4306724851461,2229.7951311413876,1483.0734923875946
8,1979,9.191404072039408,126.62207655718551,2288.1602790235675,1482.8966283031032
9,1980,7.997567470892967,134.61964402807848,2338.9445992947585,1482.7427364234934
10,1981,12.688208241444702,147.30785226952318,2419.5143517033803,1482.4985856586188
11,1982,7.336029198363285,154.64388146788647,2466.097923231148,1482.357423320656
12,1983,10.376698353405734,165.02057982129222,2531.989655242764,1482.1577514054693
13,1984,12.744067235725774,177.76464705701798,2612.9141106365023,1481.912525783064
14,1985,13.351267365522958,191.11591442254092,2697.6942691515405,1481.6556162118063
15,1986,11.174476398157955,202.2903908206989,2768.6518684881244,1481.4405931835136
16,1987,6.242065523685736,208.53245634438463,2808.2888025761868,1481.3204812620347
17,1988,3.9582017536947167,212.49065809807934,2833.4232683108257,1481.2443162143538
18,1989,5.974834637282846,218.46549273536218,2871.363294061343,1481.1293464393523
19,1990,4.2458497721346555,222.71134250749682,2898.324316326701,1481.0476463718815
20,1991,2.374737635205144,225.08608014270197,2913.403831074808,1481.0019508726448
21,1992,4.9100796458409,229.99615978854288,2944.582693672587,1480.9074694708333
22,1993,5.045800009610341,235.04195979815321,2976.6233766233768,1480.8103764921946
