,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,2002,32.84161989628176,57.75559593654181,1578.0423313822257,1066.2016144458473
4,2003,23.345484408817537,81.10108034535935,1578.6679233917037,922.6282482707047
5,2004,13.196159239884361,94.29723958524372,1579.0215426026696,841.4726393539835
6,2005,12.01751859030316,106.31475817554687,1579.3435776254685,767.5656016216458
7,2006,10.716588944842188,117.03134712038906,1579.6307514658288,701.659205258965
8,2007,11.078290967498162,128.10963808788722,1579.9276178827586,633.5283625735743
9,2008,8.863557486424126,136.97319557431135,1580.1651357959427,579.0180014978303
10,2009,7.7150324799309615,144.6882280542423,1580.3718765337997,531.5710021596678
11,2010,10.48661963860299,155.1748476928453,1580.6528878564802,467.0789036044574
12,2011,7.759803033400671,162.93465072624596,1580.860828316734,419.3565679762182
13,2012,6.891135457391034,169.825786183637,1581.0454909779528,376.9764872265198
14,2013,6.863319768878861,176.68910595251586,1581.229408258516,334.767471337256
15,2014,9.344006714480889,186.03311266699674,1581.4798008327166,277.3023755582001
16,2015,9.584341139548155,195.6174538065449,1581.7366336800465,218.35923709601005
17,2016,6.586082661204324,202.20353646774922,1581.9131218014518,177.85521323348954
18,2017,4.2753909120392075,206.47892737978842,1582.027690012808,151.56180872720998
19,2018,2.214012322171131,208.69293970195955,1582.0870191915642,137.94576220271406
20,2019,3.3054865099378783,211.99842621189742,1582.1755967473707,117.61721314510456
21,2020,2.1828568219322335,214.18128303382966,1582.234091048098,104.19277112818011
22,2021,2.159968507447004,216.34125154127665,1582.2919720076584,90.9090909090909
23,2022,1.8408813256496002,218.18213286692625,1582.3413023461321,79.58777822934005
