Annual Ring (label),EW/LW label,Year,Ring Area [mm2],Cumulative Area [mm2],Cumulative Annual Radius [mm],Annual Ring Width [mm],Area EW [mm2],Cumulative R(n-1) + EW(n) Area [mm2],Cumulative EW Radius [mm],EW Width [mm],Area LW [mm2],LW Width [mm],Area LW/(LW +EW) (-),Width LW/(LW +EW) (-),Eccentricity Module [mm],Eccentricity Phase [°],Perimeter [mm],Ring Similarity Factor [0-1]
2000,,2000,23.4,23.4,2.73,2.73,0.0,0.0,0.0,0.0,23.4,2.73,1.0,1.0,0.0,0.0,17.81,0.96
2001,,2001,846.69,870.09,16.64,13.91,0.0,23.4,2.73,0.0,846.69,13.91,1.0,1.0,1.04,183.66,105.43,0.99
2002,,2002,5253.7,6123.8,44.15,27.51,0.0,870.09,16.64,0.0,5253.7,27.51,1.0,1.0,2.43,175.66,278.5,1.0
2003,,2003,7970.67,14094.47,66.98,22.83,0.0,6123.8,44.15,0.0,7970.67,22.83,1.0,1.0,3.03,194.49,422.97,0.99
2004,,2004,6675.64,20770.11,81.31,14.33,0.0,14094.47,66.98,0.0,6675.64,14.33,1.0,1.0,3.74,234.17,513.41,1.0
2005,,2005,6588.29,27358.41,93.32,12.01,0.0,20770.11,81.31,0.0,6588.29,12.01,1.0,1.0,4.67,246.81,589.06,1.0
2006,,2006,8397.82,35756.23,106.68,13.37,0.0,27358.41,93.32,0.0,8397.82,13.37,1.0,1.0,5.68,245.28,672.11,1.0
2007,,2007,11409.4,47165.63,122.53,15.84,0.0,35756.23,106.68,0.0,11409.4,15.84,1.0,1.0,5.87,249.39,772.75,1.0
2008,,2008,7222.23,54387.85,131.58,9.05,0.0,47165.63,122.53,0.0,7222.23,9.05,1.0,1.0,7.18,250.4,829.28,1.0
2009,,2009,6860.42,61248.28,139.63,8.05,0.0,54387.85,131.58,0.0,6860.42,8.05,1.0,1.0,7.77,250.42,879.06,1.0
2010,,2010,10784.4,72032.68,151.42,11.79,0.0,61248.28,139.63,0.0,10784.4,11.79,1.0,1.0,8.83,243.88,954.85,1.0
2011,,2011,8739.99,80772.67,160.35,8.92,0.0,72032.68,151.42,0.0,8739.99,8.92,1.0,1.0,8.76,244.12,1010.19,1.0
2012,,2012,10854.47,91627.14,170.78,10.43,0.0,80772.67,160.35,0.0,10854.47,10.43,1.0,1.0,8.29,239.94,1077.08,1.0
2013,,2013,12748.87,104376.0,182.27,11.49,0.0,91627.14,170.78,0.0,12748.87,11.49,1.0,1.0,8.14,229.83,1151.64,0.99
2014,,2014,13816.66,118192.66,193.96,11.69,0.0,104376.0,182.27,0.0,13816.66,11.69,1.0,1.0,6.48,224.41,1225.13,0.99
2015,,2015,14045.92,132238.59,205.17,11.2,0.0,118192.66,193.96,0.0,14045.92,11.2,1.0,1.0,5.64,211.8,1297.52,0.99
2016,,2016,9456.43,141695.02,212.37,7.21,0.0,132238.59,205.17,0.0,9456.43,7.21,1.0,1.0,5.46,192.43,1340.94,1.0
2017,,2017,9096.98,150792.0,219.09,6.71,0.0,141695.02,212.37,0.0,9096.98,6.71,1.0,1.0,5.5,172.95,1382.25,1.0
2018,,2018,6966.95,157758.95,224.09,5.0,0.0,150792.0,219.09,0.0,6966.95,5.0,1.0,1.0,7.24,158.32,1413.23,1.0
2019,,2019,7000.33,164759.28,229.01,4.92,0.0,157758.95,224.09,0.0,7000.33,4.92,1.0,1.0,7.7,156.04,1444.52,1.0
2020,,2020,4328.29,169087.57,232.0,2.99,0.0,164759.28,229.01,0.0,4328.29,2.99,1.0,1.0,7.65,156.07,1463.29,1.0
2021,,2021,4973.45,174061.02,235.38,3.39,0.0,169087.57,232.0,0.0,4973.45,3.39,1.0,1.0,8.0,150.54,1484.2,1.0
2022,,2022,5064.12,179125.14,238.78,3.4,0.0,174061.02,235.38,0.0,5064.12,3.4,1.0,1.0,8.61,142.2,1507.17,1.0
