,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,2002,26.661433900660402,45.56568748624611,1583.1666666666667,1716.9540822590545
4,2003,21.444622738158685,67.0103102244048,1583.1666666666667,1856.344130057086
5,2004,12.124465091702616,79.13477531610742,1583.1666666666667,1935.153153153153
6,2005,14.976437976438005,94.11121329254543,1583.1666666666667,2032.5
7,2006,11.287878085346446,105.39909137789188,1583.1666666666667,2105.871207554752
8,2007,13.698057817416018,119.09714919530789,1583.1666666666667,2194.908583367956
9,2008,5.709304671318583,124.80645386662647,1583.1666666666667,2232.019063731527
10,2009,5.479564085872111,130.28601795249858,1583.1666666666667,2267.6362302896955
11,2010,11.702223074217448,141.98824102671603,1583.1666666666667,2343.700680272109
12,2011,7.709256623266321,149.69749764998235,1583.1666666666667,2393.81084832334
13,2012,7.052235739792685,156.74973338977503,1583.1666666666667,2439.6503806319924
14,2013,8.409348633308372,165.1590820230834,1583.1666666666667,2494.311146748497
15,2014,9.282543473291929,174.44162549637534,1583.1666666666667,2554.6476793248944
16,2015,7.948404679001075,182.3900301753764,1583.1666666666667,2606.3123097384014
17,2016,4.457078755762898,186.8471089311393,1583.1666666666667,2635.28332165086
18,2017,5.546418806784949,192.39352773792425,1583.1666666666667,2671.3350438949624
19,2018,4.040461893476417,196.43398963140066,1583.1666666666667,2697.598046202559
20,2019,3.559652875845901,199.99364250724656,1583.1666666666667,2720.7357898955574
21,2020,3.0034683973616176,202.99711090460818,1583.1666666666667,2740.258334478408
22,2021,3.374914483304425,206.3720253879126,1583.1666666666667,2762.1952786198867
23,2022,2.4646845564485864,208.8367099443612,1583.1666666666667,2778.2157282368025
