,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,2002,27.71385115041519,44.659887840968,1702.3295110451495,1652.9422643304406
4,2003,22.283547998899866,66.94343583986786,1730.5146835997336,1793.8805072398393
5,2004,14.317258828223569,81.26069466809143,1748.6237571907993,1884.4338294768784
6,2005,13.439125591042188,94.69982025913362,1765.6221307794647,1969.433163834842
7,2006,9.806401632099988,104.50622189123361,1778.0256816930776,2031.4563665743817
8,2007,14.562251431178721,119.06847332241233,1796.4446322745234,2123.5592098745838
9,2008,6.762100947304545,125.83057426971688,1804.9976231196395,2166.3279209405296
10,2009,6.323058594318439,132.15363286403533,1812.9952946557166,2206.319791541226
11,2010,13.117597870034206,145.27123073406955,1829.5869864045715,2289.2855380680344
12,2011,7.197470006835246,152.4687007409048,1838.690650422039,2334.8078568750097
13,2012,8.47158795085904,160.94028869176384,1849.4058726217572,2388.388674458702
14,2013,14.270898599781392,175.21118729154523,1867.4563078380734,2478.6487790655037
15,2014,9.7613806010532,184.97256789259842,1879.8029142503574,2540.3872342859313
16,2015,10.280764398266587,195.25333229086502,1892.806459223199,2605.410670864735
17,2016,7.134319388997696,202.3876516798627,1901.8302476723427,2650.533576745317
18,2017,8.131078038965802,210.5187297188285,1912.1147785555916,2701.960748568566
19,2018,5.784903264416166,216.30363298324465,1919.4317685038347,2738.548912245549
20,2019,4.713105575250157,221.0167385584948,1925.3931034722589,2768.3582055616334
21,2020,2.7600610568881523,223.77679961538297,1928.8841452557945,2785.8149478945725
22,2021,3.2465405195091033,227.02334013489207,1932.9905068079283,2806.348559345333
23,2022,3.5210743831938487,230.54441451808592,1937.4441103845556,2828.618533442148
