,coorecorder,tras
0,30.54137824329478,32.84161989628176
1,21.771000000000015,23.345484408817537
2,12.247930845657155,13.19615923988436
3,11.188000000000002,12.01751859030316
4,9.977999999999994,10.716588944842188
5,10.281000000000006,11.078290967498162
6,8.166396145179334,8.863557486424126
7,7.257000000000005,7.7150324799309615
8,9.676000000000002,10.48661963860299
9,7.256999999999998,7.759803033400671
10,6.502753416822752,6.891135457391034
11,6.350000000000001,6.863319768878861
12,8.617999999999995,9.344006714480887
13,8.920000000000002,9.584341139548156
14,6.199000000000002,6.586082661204324
15,3.9338990836064927,4.275390912039208
16,2.1169999999999973,2.214012322171131
17,3.024000000000001,3.3054865099378783
18,1.9649999999999999,2.182856821932233
19,2.117000000000001,2.159968507447004
20,1.6629999999999985,1.8408813256496
21,18.974000000000018,19.4067503700088
22,13.617999999999995,13.994765249557744
23,13.465000000000003,13.900337621196035
24,10.557999999999993,10.93272439785619
25,12.699999999999989,13.016061067325168
26,8.568000000000012,8.899578099196232
27,7.956999999999994,8.188952427605216
28,12.241,12.540937023582297
29,7.037999999999997,7.296466782323732
30,9.793000000000006,10.073844881401095
31,10.558,10.808744351485812
32,11.628999999999998,12.049487015647111
33,8.875,9.096902999104914
34,8.109000000000002,8.307312166347495
35,5.509,5.714976464587336
36,3.671999999999997,3.763807223614827
37,2.907,2.9997964982834624
38,2.4480000000000004,2.423481365939288
39,1.2250000000000014,1.3899236621396345
40,1.8359999999999985,1.7841630480959645
41,24.0680232050744,24.276034850704505
42,20.48891705288496,20.57686834721861
43,13.418590686059384,13.63778496791312
44,12.92126777835678,12.987280430166903
45,8.25027029860229,8.251658026236818
46,12.42430923633186,12.561797373030672
47,5.822179059424376,5.840855154312906
48,5.821988148390583,5.873927903369937
49,8.22114693944824,8.290838657431713
50,8.562357444068818,8.642675741833846
51,5.511145525206137,5.611483444809661
52,10.180816568429108,10.248770203138584
53,11.303046713165442,11.39328717846033
54,9.527353882374667,9.535368690749296
55,6.4464580197190715,6.480248606679593
56,6.631740420131009,6.781303048148719
57,3.5494450270429776,3.5060360739326524
58,1.6183503946920672,1.690403351979019
59,1.775706338334145,1.8162475957050617
60,1.4627621132638002,1.3819605728515518
61,2.2733906395514354,2.333223496926003
62,23.224810634319482,27.369219567743
63,20.75702591895091,24.5385600268996
64,13.934764870639187,16.3285889036026
65,10.741978681788579,12.6471248022624
66,12.627832513935235,14.8907982630076
67,13.937017471467843,16.3992899968627
68,9.14514958871642,10.8209021191939
69,7.837999999999994,9.16940719574246
70,8.709207139573627,10.3293265297535
71,9.581112461504658,11.2556744136823
72,9.72508102794008,11.4228503296792
73,8.71020700098453,10.262385561553
74,6.67757448479611,7.96508377041675
75,7.693000000000001,9.01836102780531
76,4.937129732952132,5.77214422997389
77,3.7729999999999997,4.51868824366032
78,3.1940000000000026,3.74320892630305
79,3.196290662627539,3.70767253534992
80,2.321999999999999,2.75701632360158
81,1.7420000000000009,2.04987554540437
82,2.4669999999999996,2.9562015259629
83,14.328915799878262,13.7954680674362
84,16.281999999999982,15.766065387042945
85,14.490999999999985,14.01109894172391
86,10.258000000000038,9.948847537289437
87,14.816896604889946,14.339377137790477
88,9.117999999999995,8.75930328255498
89,8.30400000000003,8.136026500241861
90,10.745999999999981,10.403303235916622
91,7.163999999999987,6.800894911278365
92,7.978999999999985,7.733724698873673
93,12.0491025806904,11.72900283333193
94,10.584000000000003,10.136233638024123
95,11.560000000000002,11.221928697643524
96,8.955000000000041,8.63441480936254
97,7.000999999999976,6.886160623589244
98,4.074261896343894,3.926563980780331
99,3.0930000000000177,2.9566205048460725
100,2.4429999999999836,2.4034401174187376
101,3.4190000000000396,3.184522488145019
102,3.255999999999972,3.1557442582430464
103,29.66360480454123,28.839438620251148
104,26.782709721012164,25.985742550408517
105,15.138988935856975,14.771505009122311
106,14.65294379979667,14.188808628297902
107,10.12558897052415,9.730194843915998
108,14.65294379979667,14.248915753070106
109,7.052629580518179,6.82946210027405
110,8.282098586710996,8.071294972043239
111,13.132880339057381,12.650619473375023
112,7.214597008842541,7.010201803335893
113,10.286907066752384,9.97576773811396
114,10.287115533520561,10.04292355793246
115,11.28866604165435,10.95091155714693
116,11.774616639194667,11.387643213228186
117,10.771530624753389,10.525858976023178
118,9.28436761443664,8.936997894420912
119,5.887406389913981,5.7291274837671065
120,5.207772076425778,5.036124872021435
121,2.720279581219536,2.6793003408782057
122,3.201763420366978,3.066494139019667
123,2.362440475440598,2.3428492564247523
124,27.354000000000013,28.7356847922203
125,19.375999999999976,20.33271317411774
126,11.560000000000002,12.059506624733457
127,12.376073448392264,13.070381253244904
128,11.396999999999991,11.913833055887704
129,15.631000000000029,16.381857661519454
130,6.512999999999977,6.8303038562993175
131,7.814999999999998,8.197875573269952
132,11.235000000000014,11.8470519098164
133,10.093999999999994,10.564230626991698
134,10.74823604132326,11.23549423857273
135,13.024999999999977,13.7960954032663
136,14.490999999999985,15.220704272305673
137,13.840000000000032,14.370699761070728
138,8.466999999999985,8.916270740376513
139,8.14100000000002,8.6114646844615
140,6.349999999999966,6.737572735203057
141,5.536000000000001,5.667685233581617
142,1.9530000000000314,2.2016230130336
143,3.423882153345778,3.447122693755368
144,7.001000000000033,7.434357540117567
145,27.701340978371444,28.324868912248768
146,23.13851378113988,23.80970047305168
147,14.170578710836033,14.606855069523192
148,13.68536258197058,13.998474218922984
149,9.608831354540436,9.949531115846932
150,14.015209595293248,14.319655372534209
151,7.559145520493713,7.737717061653999
152,6.281491065025894,6.545709725761987
153,13.222896808188407,13.554948033003104
154,7.404813096898543,7.570537676262047
155,9.76219877896369,10.014652969820432
156,13.376356940512611,13.780843719704942
157,9.454676567709784,9.614391047874795
158,11.635777799528492,11.951436044171478
159,6.943250679616834,7.231592615859061
160,6.611448404094236,6.75509204060215
161,6.919462479123644,7.011858335068732
162,5.047475606677031,5.306981715038143
163,2.6671936562612006,2.709898406661372
164,2.996768926694254,3.01162557980752
165,3.769043512616968,3.872233186304123
166,31.664999999999992,30.30818159421267
167,30.311000000000007,29.114848919960245
168,13.884999999999991,13.445791621977143
169,14.563000000000017,13.973100415306895
170,10.159999999999997,9.760562153031898
171,17.61,16.87141925402618
172,9.48299999999999,9.161443417686044
173,8.63600000000001,8.214663243089431
174,11.00699999999999,10.538699233043207
175,7.957999999999998,7.678798357270848
176,6.266000000000005,6.101799849157051
177,9.482,8.943946197566712
178,10.498999999999995,10.19462852330503
179,9.821000000000005,9.350660551829796
180,6.265999999999998,6.02961403962108
181,7.280999999999999,7.049860708397294
182,5.757000000000005,5.582509222638065
183,6.603999999999999,6.291539520581602
184,2.878999999999998,2.683084243873952
185,3.048000000000002,2.905278954254016
186,1.8629999999999995,1.876479678749148
187,24.498459216856904,27.892440123280107
188,20.8915385024655,23.663747096343585
189,11.122000000000014,12.654731002641697
190,9.620185133353752,10.904930343879489
191,12.474901843301202,14.189485841897984
192,14.127999999999986,16.162931671422637
193,9.770151534137026,11.13456001881748
194,7.815999999999974,8.84563165093411
195,10.220000000000027,11.671790086493374
196,7.666487200798049,8.6425925380966
197,9.468999999999994,10.75002326603832
198,9.319207262423113,10.585891528219085
199,10.521000000000015,11.952045115291003
200,10.221100723503286,11.72586368570611
201,4.5090000000000146,5.156772738881011
202,3.757000000000005,4.259219472701719
203,5.411000000000001,6.193594771939547
204,4.962267626801259,5.492581591236086
205,3.0049999999999955,3.4527940002726294
206,3.0060000000000286,3.536800955529972
207,2.555000000000007,2.7985346491608696
208,24.105999999999995,25.394069597025013
209,20.546638654534217,21.765820638741875
210,14.561000000000007,15.414002804639331
211,10.679228811108034,11.190628145556834
212,11.001000000000005,11.713272447638383
213,16.016999999999996,16.809952543763227
214,9.0604483884629,9.546148967848747
215,7.119,7.549062038489205
216,10.192000000000007,10.855132626149038
217,7.280000000000001,7.557703085006562
218,10.677999999999997,11.3361563909458
219,8.737483447766857,9.22430181401456
220,10.193000000000012,10.7177440219652
221,12.618999999999993,13.34652412574347
222,6.957000000000001,7.440179280234965
223,4.532895763195974,4.761674845520625
224,3.5589999999999975,3.6914763556017434
225,5.823999999999998,6.220604665587391
226,3.5590000000000046,3.7381934518263833
227,4.692,5.055978999726784
228,2.75,2.901839269038588
229,19.72199999999998,20.74825332701931
230,14.045790330202157,14.788737124668668
231,14.043999999999983,14.855372406478692
232,11.206000000000017,11.760045386774555
233,12.550999999999988,13.330972483472966
234,8.816276141319529,9.191404072039408
235,7.471000000000004,7.997567470892967
236,12.102000000000032,12.688208241444702
237,7.021999999999991,7.336029198363285
238,9.711999999999989,10.376698353405734
239,12.103917134547816,12.744067235725774
240,12.699999999999989,13.351267365522958
241,10.608000000000004,11.174476398157957
242,5.975999999999999,6.242065523685736
243,3.73599999999999,3.9582017536947167
244,5.677000000000021,5.974834637282846
245,4.033999999999992,4.245849772134656
246,2.2409999999999854,2.374737635205144
247,4.634428120059696,4.9100796458409
248,4.781000000000006,5.045800009610341
249,25.702368840245065,28.67460987458036
250,24.09407862940601,26.8327372542164
251,12.1195181422365,13.472893065108906
252,10.951893352293053,12.300182278353688
253,10.660000000000005,11.77841586813048
254,10.806945590683796,12.107480275648117
255,7.449724827132839,8.217038392921477
256,4.963999999999999,5.534376854229059
257,10.222171393593456,11.451306840416972
258,8.763865870721679,9.735904575542552
259,4.673281181354267,5.184663208337141
260,6.862553242052106,7.624554153023302
261,8.616948879969081,9.6936658032674
262,8.030327328322297,8.865687516572782
263,5.111085696796699,5.787200543095969
264,3.6529188329335014,4.013812961611707
265,2.4809999999999945,2.8022920360817647
266,3.5070403476435414,3.792749392066202
267,2.4809999999999945,2.8904503375184203
268,2.0492076517522957,2.2179868882324945
269,2.919999999999959,3.179478474537363
270,26.015415910571203,25.678305315238248
271,22.719493150156318,22.507425801359933
272,13.591835784764323,13.449818613958854
273,13.086743101322043,12.944784001253122
274,6.864026952161525,6.781042649222093
275,11.43999777097881,11.38346122446992
276,7.208438457807623,7.040002114171018
277,7.6868090258572135,7.572629874406988
278,7.687945434249648,7.756334480662117
279,5.217273042500273,5.125414286337554
280,7.208595563630965,7.072341674477475
281,12.743782876367597,12.631955089307196
282,9.975825629991734,9.906876334000271
283,12.92769604376588,12.669362197635913
284,5.398955917582584,5.356157136072999
285,3.9365337544596275,3.938415456877
286,3.752474650147551,3.716738791661866
287,4.096417215079539,4.043001386053324
288,2.288056161898132,2.270484880895565
289,3.271154230543094,3.2209382347056086
290,3.272143181463797,3.296071355438101
291,25.851825099980854,28.2614510796809
292,20.35216718189984,22.315154729663465
293,11.738757770735383,12.777429542850625
294,14.411060786770653,15.81618229645848
295,10.844010005528416,11.871074065192074
296,13.371321101521715,14.71425317574974
297,5.79489024917643,6.221610754023403
298,5.350075233115899,5.9265728044550725
299,10.844010005528359,11.93596026014062
300,7.725437010292733,8.32872524156864
301,6.537675427856604,7.244714116646501
302,8.022383810314695,8.760228537853006
303,8.913228820130257,9.778441516195148
304,7.874409819154693,8.562213902077396
305,4.458457132237581,4.857413821276692
306,5.20013509439897,5.742162248826632
307,3.7139999999999986,4.109067689605855
308,3.715948465735251,4.007983184311771
309,2.9710000000000036,3.307485343765517
310,3.568112386122386,3.940178515689565
311,2.3769999999999527,2.4703683554123224
312,0.88186733696176,0.7116851646120929
313,13.274013145993184,12.799441710457591
314,27.37142219542126,26.22679677275692
315,15.07688114299508,14.55038100602554
316,13.277052120105573,12.744756657314069
317,10.4892821489366,10.019222742887258
318,9.670390736676552,9.366731976429277
319,13.601988714890213,12.973761398666042
320,8.522578072390994,8.247641049256075
321,8.522578072391006,8.148363288786179
322,12.459291873938902,12.020548286607314
323,6.227000000000004,6.028558746303377
324,8.522578072391008,8.182722767885194
325,8.68654827880442,8.325624710518507
326,12.128108879788304,11.674132949734018
327,10.980224815549086,10.43602677232736
328,6.721001190298959,6.453590143271887
329,5.246563827878204,5.062432139885074
330,3.4409999999999954,3.3897357202173373
331,2.1300000000000026,1.9475353513774207
332,1.8029999999999973,1.8234774920124464
333,2.299783685480011,2.182322402168584
334,1.966000000000001,1.8883235623665728
