,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,2002,28.7356847922203,44.81990120898743,1541.437517677066,1681.9575886543905
4,2003,20.33271317411774,65.15261438310517,1541.699433312896,1800.903672358222
5,2004,12.059506624733457,77.21212100783863,1541.854777723569,1871.451615081301
6,2005,13.070381253244904,90.28250226108354,1542.0231437053822,1947.913160044639
7,2006,11.913833055887705,102.19633531697124,1542.1766116234746,2017.6089144559576
8,2007,16.381857661519454,118.5781929784907,1542.3876343546149,2113.4425494433303
9,2008,6.8303038562993175,125.40849683479003,1542.4756188435572,2153.399730133223
10,2009,8.197875573269952,133.60637240805997,1542.5812196935196,2201.3571859720732
11,2010,11.847051909816399,145.45342431787637,1542.7338273709654,2270.6622716259853
12,2011,10.564230626991698,156.01765494486807,1542.8699103992376,2332.4628709687368
13,2012,11.23549423857273,167.2531491834408,1543.014640302825,2398.1903529191713
14,2013,13.7960954032663,181.0492445867071,1543.1923545640047,2478.8973153678344
15,2014,15.220704272305673,196.26994885901277,1543.388419909693,2567.938219496139
16,2015,14.370699761070728,210.6406486200835,1543.5735359310038,2652.006609288743
17,2016,8.916270740376513,219.55691936046003,1543.6883907809297,2704.166666666667
18,2017,8.6114646844615,228.16838404492154,1543.799319274778,2754.5436129403406
19,2018,6.737572735203057,234.9059567801246,1543.8861092487368,2793.958317886961
20,2019,5.667685233581617,240.5736420137062,1543.9591174778368,2827.114196122568
21,2020,2.2016230130335996,242.77526502673982,1543.987477662057,2839.9936595247236
22,2021,3.4471226937553676,246.2223877204952,1544.031881737617,2860.159278395044
23,2022,7.434357540117567,253.65674526061275,1544.1276473378805,2903.6501645683993
