Annual Ring (label),EW/LW label,Year,Ring Area [mm2],Cumulative Area [mm2],Cumulative Annual Radius [mm],Annual Ring Width [mm],Area EW [mm2],Cumulative R(n-1) + EW(n) Area [mm2],Cumulative EW Radius [mm],EW Width [mm],Area LW [mm2],LW Width [mm],Area LW/(LW +EW) (-),Width LW/(LW +EW) (-),Eccentricity Module [mm],Eccentricity Phase [°],Perimeter [mm],Ring Similarity Factor [0-1]
2000,,2000,19.67,19.67,2.5,2.5,0.0,0.0,0.0,0.0,19.67,2.5,1.0,1.0,0.0,0.0,16.11,0.98
2001,,2001,927.34,947.01,17.36,14.86,0.0,19.67,2.5,0.0,927.34,14.86,1.0,1.0,0.67,169.15,109.78,0.99
2002,,2002,5106.76,6053.77,43.9,26.54,0.0,947.01,17.36,0.0,5106.76,26.54,1.0,1.0,1.71,65.01,277.02,1.0
2003,,2003,8090.49,14144.26,67.1,23.2,0.0,6053.77,43.9,0.0,8090.49,23.2,1.0,1.0,5.19,42.05,423.05,1.0
2004,,2004,6727.6,20871.86,81.51,14.41,0.0,14144.26,67.1,0.0,6727.6,14.41,1.0,1.0,5.85,41.75,513.67,1.0
2005,,2005,7487.75,28359.61,95.01,13.5,0.0,20871.86,81.51,0.0,7487.75,13.5,1.0,1.0,7.36,46.84,598.58,1.0
2006,,2006,5667.92,34027.53,104.07,9.06,0.0,28359.61,95.01,0.0,5667.92,9.06,1.0,1.0,8.03,51.15,655.58,1.0
2007,,2007,9246.45,43273.99,117.36,13.29,0.0,34027.53,104.07,0.0,9246.45,13.29,1.0,1.0,10.1,52.97,741.46,0.99
2008,,2008,5491.52,48765.5,124.59,7.22,0.0,43273.99,117.36,0.0,5491.52,7.22,1.0,1.0,11.09,52.96,785.76,1.0
2009,,2009,5484.09,54249.59,131.41,6.82,0.0,48765.5,124.59,0.0,5484.09,6.82,1.0,1.0,12.19,50.71,828.9,1.0
2010,,2010,9057.0,63306.59,141.95,10.55,0.0,54249.59,131.41,0.0,9057.0,10.55,1.0,1.0,14.59,53.27,894.95,1.0
2011,,2011,5712.75,69019.35,148.22,6.27,0.0,63306.59,141.95,0.0,5712.75,6.27,1.0,1.0,15.94,54.86,934.16,1.0
2012,,2012,7275.82,76295.16,155.84,7.62,0.0,69019.35,148.22,0.0,7275.82,7.62,1.0,1.0,17.55,54.23,981.84,1.0
2013,,2013,11629.25,87924.41,167.29,11.46,0.0,76295.16,155.84,0.0,11629.25,11.46,1.0,1.0,17.82,60.95,1055.43,1.0
2014,,2014,11831.42,99755.83,178.19,10.9,0.0,87924.41,167.29,0.0,11831.42,10.9,1.0,1.0,18.75,65.31,1125.99,0.99
2015,,2015,13041.65,112797.48,189.48,11.29,0.0,99755.83,178.19,0.0,13041.65,11.29,1.0,1.0,20.24,65.62,1196.12,1.0
2016,,2016,8944.7,121742.18,196.85,7.37,0.0,112797.48,189.48,0.0,8944.7,7.37,1.0,1.0,21.74,64.65,1242.1,1.0
2017,,2017,8861.76,130603.94,203.89,7.04,0.0,121742.18,196.85,0.0,8861.76,7.04,1.0,1.0,23.34,63.01,1286.81,1.0
2018,,2018,5463.79,136067.73,208.11,4.22,0.0,130603.94,203.89,0.0,5463.79,4.22,1.0,1.0,24.25,63.93,1312.8,1.0
2019,,2019,5149.52,141217.25,212.02,3.9,0.0,136067.73,208.11,0.0,5149.52,3.9,1.0,1.0,25.23,62.88,1337.47,1.0
2020,,2020,3610.61,144827.86,214.71,2.69,0.0,141217.25,212.02,0.0,3610.61,2.69,1.0,1.0,25.7,63.37,1354.59,1.0
2021,,2021,4382.42,149210.28,217.93,3.22,0.0,144827.86,214.71,0.0,4382.42,3.22,1.0,1.0,26.3,64.9,1376.0,1.0
2022,,2022,4319.82,153530.1,221.07,3.13,0.0,149210.28,217.93,0.0,4319.82,3.13,1.0,1.0,26.74,66.4,1396.08,0.99
