,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,2002,28.2614510796809,48.30459050057283,1573.831324331436,1718.2675632064056
4,2003,22.315154729663462,70.61974523023629,1571.0992468102759,1855.4785676024471
5,2004,12.777429542850623,83.39717477308692,1569.5348871428153,1934.0441864571378
6,2005,15.816182296458479,99.2133570695454,1567.5984884645984,2031.2944311853619
7,2006,11.871074065192074,111.08443113473747,1566.145095243783,2104.287068497421
8,2007,14.71425317574974,125.7986843104872,1564.3436073836658,2194.7617921388605
9,2008,6.221610754023403,132.0202950645106,1563.5818863428576,2233.0171155216726
10,2009,5.9265728044550725,137.94686786896568,1562.856287236209,2269.458315100028
11,2010,11.93596026014062,149.88282812910631,1561.3949499022203,2342.849923429236
12,2011,8.32872524156864,158.21155337067495,1560.3752517066189,2394.061432808339
13,2012,7.244714116646501,165.45626748732144,1559.488270602293,2438.6075949367087
14,2013,8.760228537853006,174.21649602517445,1558.4157428175458,2492.4723236817827
15,2014,9.778441516195148,183.9949375413696,1557.2185537062885,2552.597821269373
16,2015,8.562213902077396,192.557151443447,1556.1702691473588,2605.245001340058
17,2016,4.857413821276692,197.41456526472368,1555.5755687622236,2635.1121762379594
18,2017,5.742162248826632,203.15672751355032,1554.8725473136644,2670.4194756544944
19,2018,4.109067689605855,207.2657952031562,1554.369468056375,2695.685233909474
20,2019,4.007983184311771,211.27377838746796,1553.878764725132,2720.329445656338
21,2020,3.307485343765517,214.58126373123346,1553.4738243844201,2740.6664494343127
22,2021,3.9401785156895652,218.52144224692302,1552.9914224794152,2764.8937451079028
23,2022,2.4703683554123224,220.99181060233533,1552.688971614316,2780.083499666214
