,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,2002,28.617098432846976,47.90041419971182,1268.1453020277938,1418.7467880773434
4,2003,27.70125960681008,75.6016738065219,1088.0907360961546,1419.888783210102
5,2004,12.755970163084053,88.35764396960596,1005.1785976825497,1420.4146530097655
6,2005,13.22839531605525,101.58603928566122,919.1957575369374,1420.9599987189345
7,2006,9.222673693422086,110.8087129790833,859.2495842520943,1421.3402070061532
8,2007,15.979149368799805,126.7878623478831,755.3872023823268,1421.9989536142068
9,2008,8.664278014715489,135.45214036259858,699.0705280074503,1422.3561418237725
10,2009,7.777565284368904,143.2297056469675,648.5173704558075,1422.6767749583496
11,2010,9.964969248002992,153.1946748949705,583.7463731098884,1423.0875846666747
12,2011,7.292607736100918,160.4872826310714,536.3453762212646,1423.388225238907
13,2012,5.806091158887205,166.2933737899586,498.6065427454049,1423.6275835907622
14,2013,8.431978267076822,174.72535205703542,443.7997863605691,1423.9751951534568
15,2014,9.675034252982977,184.4003863100184,380.9133285777494,1424.3740521795635
16,2015,8.761933702658178,193.1623200126766,323.9619049982211,1424.735266282605
17,2016,5.728281567269008,198.8906015799456,286.72882369547517,1424.9714169039753
18,2017,6.672777338706981,205.5633789186526,243.35664335664336,1425.2465047285345
19,2018,5.363562281593089,210.9269412002457,208.49418972936715,1425.467619656403
20,2019,5.952392400151258,216.87933360039696,169.80441731192292,1425.7130093334695
21,2020,2.5638663762198477,219.4431999766168,153.13962105249576,1425.8187057156645
22,2021,2.7359400375633904,222.17914001418018,135.35636849031394,1425.9314959010483
23,2022,1.7506205466986442,223.92976056087883,123.97756380342011,1426.0036659096334
