,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,2002,28.200950477733358,43.881211876321416,1366.8510559494666,1432.3795391733647
4,2003,25.171858634820452,69.05307051114187,1208.622290911675,1468.765478812857
5,2004,14.351680378480408,83.40475088962228,1118.408505134141,1489.5108430528385
6,2005,13.497480182902123,96.9022310725244,1033.564169582838,1509.021460299868
7,2006,9.65346900528164,106.55570007780604,972.8830533730335,1522.9755566434728
8,2007,14.019595202500996,120.57529528030703,884.7567347168147,1543.2408915243334
9,2008,7.213663793472225,127.78895907377925,839.4120849633784,1553.6682476912626
10,2009,7.509505518269706,135.29846459204896,792.2077922077922,1564.5232432827372
11,2010,12.220719308846254,147.5191839008952,715.3890974834632,1582.1883017741968
12,2011,6.499719746584339,154.01890364747953,674.532256377136,1591.5836513113059
13,2012,9.678882872623003,163.69778652010254,613.6913901503543,1605.5744834183083
14,2013,10.235661205362868,173.9334477254654,549.3506493506493,1620.3701390030508
15,2014,10.887569634512408,184.82101735997782,480.9120520057239,1636.108128687854
16,2015,11.05768752115853,195.87870488113634,411.4041040218426,1652.0920238993374
17,2016,9.928849139731232,205.80755402086757,348.9919651163351,1666.4441824240216
18,2017,8.873248207073484,214.68080222794106,293.21526916203374,1679.2704690464243
19,2018,5.531983582472397,220.21278581041346,258.4415584415584,1687.2669552669556
20,2019,5.150231122659381,225.36301693307286,226.06752035323404,1694.7116180341018
21,2020,2.386617735795539,227.7496346688684,211.0653871206154,1698.161475676202
22,2021,2.86062380406354,230.61025847293195,193.08368071103973,1702.2965094286149
23,2022,2.411986985993943,233.02224545892588,177.92207792207793,1705.7830383400008
