,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,2002,25.49426805511389,39.47118687774947,1488.4898459805502,1231.8587117916993
4,2003,18.411371379567903,57.88255825731737,1489.5787785321602,1109.4279346525934
5,2004,13.468916692799104,71.35147495011647,1490.3753917512054,1019.8631812224787
6,2005,13.322263365514432,84.6737383156309,1491.163331223,931.2736338462391
7,2006,10.681028886410811,95.35476720204171,1491.79505603042,860.2476010619716
8,2007,12.416359736982677,107.77112693902438,1492.5294162261578,777.6820745458708
9,2008,8.614972200043061,116.38609913906744,1493.0389450095624,720.3947753143989
10,2009,7.653435441506686,124.03953458057413,1493.4916041196357,669.5014426250427
11,2010,11.809616309270087,135.84915088984422,1494.1900787392644,590.9706003183612
12,2011,7.168855845738593,143.01800673558282,1494.6140775999297,543.2995944873661
13,2012,9.70198828638365,152.71999502196647,1495.1878974769274,478.78392418729044
14,2013,10.43139870605767,163.15139372802415,1495.8048580159157,409.41786644496506
15,2014,11.58572066590616,174.7371143939303,1496.4900904251085,332.3758712779119
16,2015,8.665394971790612,183.40250936572093,1497.002601441415,274.7532738764508
17,2016,7.799040704258918,191.20155006997985,1497.4638723114178,222.89170448669967
18,2017,5.450890952634081,196.6524410226139,1497.7862628857663,186.64471333795157
19,2018,3.6014954754063595,200.25393649802027,1497.9992717690695,162.69571568716808
20,2019,2.715634547977128,202.96957104599738,1498.1598867931548,144.6374602057968
21,2020,2.2207390122649087,205.1903100582623,1498.2912314360512,129.87012987012986
22,2021,1.4772778387547822,206.66758789701709,1498.3786043912337,120.04662079411167
23,2022,1.6999176261817965,208.36750552319887,1498.4791452797988,108.74261569013197
