,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,2002,25.637249731174965,42.001969530476316,1808.75,1412.6165064524625
4,2003,21.854944694720583,63.8569142251969,1947.5,1409.7845009217804
5,2004,11.736917339300849,75.59383156449775,2022.013905369039,1408.2636087263365
6,2005,9.921135961773604,85.51496752627135,2085.0,1406.9780089544379
7,2006,13.249313846878158,98.7642813731495,2169.115623349,1405.2611375271142
8,2007,14.817664181838426,113.58194555498793,2263.1881974940507,1403.3410362639484
9,2008,10.32479403369185,123.90673958867977,2328.7369871242895,1402.0031297071025
10,2009,8.32047461401237,132.22721420269215,2381.560998752793,1400.924946693879
11,2010,10.822894347336284,143.05010855002843,2450.2720667362164,1399.5224953457844
12,2011,8.03275311359371,151.08286166362214,2501.2694272914396,1398.481595834847
13,2012,9.852158974578273,160.9350206382004,2563.8176092620374,1397.204934232866
14,2013,10.074565373524434,171.00958601172482,2627.777777777778,1395.899452784362
15,2014,10.773669190360883,181.7832552020857,2696.1763311048735,1394.5033801262502
16,2015,10.880506141030391,192.6637613431161,2765.253157798132,1393.0934633317474
17,2016,4.896885176779459,197.56064651989556,2796.3419035153556,1392.4589155853464
18,2017,3.7073555869882027,201.26800210688376,2819.8787092533667,1391.9785093581418
19,2018,5.259854637781145,206.5278567446649,2853.271831093132,1391.2969273348124
20,2019,5.204135759374929,211.73199250403982,2886.3112117321366,1390.622565470308
21,2020,3.2421002832117596,214.97409278725158,2906.894261498641,1390.2024479151582
22,2021,3.688855633178233,218.6629484204298,2930.313616992463,1389.724438947349
23,2022,1.9442986791549801,220.60724709958478,2942.6573426573427,1389.4724930060722
