Annual Ring (label),EW/LW label,Year,Ring Area [mm2],Cumulative Area [mm2],Cumulative Annual Radius [mm],Annual Ring Width [mm],Area EW [mm2],Cumulative R(n-1) + EW(n) Area [mm2],Cumulative EW Radius [mm],EW Width [mm],Area LW [mm2],LW Width [mm],Area LW/(LW +EW) (-),Width LW/(LW +EW) (-),Eccentricity Module [mm],Eccentricity Phase [°],Perimeter [mm],Ring Similarity Factor [0-1]
2000,,2000,1.08,1.08,0.59,0.59,0.0,0.0,0.0,0.0,1.08,0.59,1.0,1.0,0.0,0.0,4.16,0.89
2001,,2001,565.28,566.36,13.43,12.84,0.0,1.08,0.59,0.0,565.28,12.84,1.0,1.0,1.07,189.72,84.73,1.0
2002,,2002,4108.4,4674.76,38.57,25.15,0.0,566.36,13.43,0.0,4108.4,25.15,1.0,1.0,2.11,228.18,243.89,0.99
2003,,2003,4905.35,9580.1,55.22,16.65,0.0,4674.76,38.57,0.0,4905.35,16.65,1.0,1.0,4.71,223.83,348.67,1.0
2004,,2004,5571.81,15151.92,69.45,14.23,0.0,9580.1,55.22,0.0,5571.81,14.23,1.0,1.0,5.94,220.67,438.96,0.99
2005,,2005,6109.78,21261.69,82.27,12.82,0.0,15151.92,69.45,0.0,6109.78,12.82,1.0,1.0,7.48,213.35,519.51,0.99
2006,,2006,5485.5,26747.19,92.27,10.0,0.0,21261.69,82.27,0.0,5485.5,10.0,1.0,1.0,8.57,212.33,583.63,0.99
2007,,2007,8227.66,34974.85,105.51,13.24,0.0,26747.19,92.27,0.0,8227.66,13.24,1.0,1.0,9.01,208.79,668.3,0.99
2008,,2008,5820.12,40794.97,113.95,8.44,0.0,34974.85,105.51,0.0,5820.12,8.44,1.0,1.0,9.22,210.56,720.26,0.99
2009,,2009,5557.85,46352.82,121.47,7.51,0.0,40794.97,113.95,0.0,5557.85,7.51,1.0,1.0,9.22,211.99,766.48,1.0
2010,,2010,8487.25,54840.07,132.12,10.65,0.0,46352.82,121.47,0.0,8487.25,10.65,1.0,1.0,9.69,208.27,833.53,1.0
2011,,2011,5803.1,60643.17,138.94,6.81,0.0,54840.07,132.12,0.0,5803.1,6.81,1.0,1.0,10.08,207.54,876.15,1.0
2012,,2012,7788.16,68431.32,147.59,8.65,0.0,60643.17,138.94,0.0,7788.16,8.65,1.0,1.0,11.15,206.23,931.68,1.0
2013,,2013,9951.87,78383.19,157.96,10.37,0.0,68431.32,147.59,0.0,9951.87,10.37,1.0,1.0,12.17,201.05,997.56,0.99
2014,,2014,11046.02,89429.21,168.72,10.76,0.0,78383.19,157.96,0.0,11046.02,10.76,1.0,1.0,13.06,201.94,1066.0,0.99
2015,,2015,9919.75,99348.96,177.83,9.11,0.0,89429.21,168.72,0.0,9919.75,9.11,1.0,1.0,13.53,199.97,1122.58,1.0
2016,,2016,7777.51,107126.48,184.66,6.83,0.0,99348.96,177.83,0.0,7777.51,6.83,1.0,1.0,13.24,199.56,1164.18,1.0
2017,,2017,6729.71,113856.19,190.37,5.71,0.0,107126.48,184.66,0.0,6729.71,5.71,1.0,1.0,13.16,196.44,1200.3,1.0
2018,,2018,4738.14,118594.33,194.29,3.92,0.0,113856.19,190.37,0.0,4738.14,3.92,1.0,1.0,13.66,192.03,1224.49,1.0
2019,,2019,4181.28,122775.62,197.69,3.4,0.0,118594.33,194.29,0.0,4181.28,3.4,1.0,1.0,14.11,189.36,1245.91,1.0
2020,,2020,2740.71,125516.33,199.88,2.19,0.0,122775.62,197.69,0.0,2740.71,2.19,1.0,1.0,14.52,187.76,1259.6,1.0
2021,,2021,3398.74,128915.07,202.57,2.69,0.0,125516.33,199.88,0.0,3398.74,2.69,1.0,1.0,15.53,185.31,1276.71,1.0
2022,,2022,3347.4,132262.47,205.18,2.61,0.0,128915.07,202.57,0.0,3347.4,2.61,1.0,1.0,16.47,182.22,1293.86,1.0
