,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,2002,25.576875345896877,40.13670351393144,1749.9072513036658,1494.5615510929258
4,2003,19.678205554640282,59.81490906857172,1880.7550699765216,1496.3519330820461
5,2004,14.129952021061028,73.94486108963275,1974.7104560392495,1497.637518372605
6,2005,14.190911346539611,88.13577243617236,2069.071183673621,1498.9286499248954
7,2006,11.050644205404677,99.18641664157704,2142.5510894095414,1499.9340705817024
8,2007,13.198240075366678,112.38465671694372,2230.3111709569753,1501.1348859331536
9,2008,8.474233221959565,120.85888993890329,2286.6595472832396,1501.9058970139188
10,2009,7.577076403613916,128.43596634251722,2337.042389183001,1502.5952820843995
11,2010,12.01186050382246,140.44782684633967,2416.913785015492,1503.6881570745581
12,2011,6.902483955310864,147.35031080165052,2462.811007019245,1504.3161657067205
13,2012,9.48608843795906,156.8363992396096,2525.88759072492,1505.1792384009948
14,2013,11.961491830683949,168.79789107029353,2605.4240662319107,1506.2675306986437
15,2014,13.640221535566507,182.43811260586003,2696.123049388051,1507.5085588450913
16,2015,11.009385332479052,193.44749793833907,2769.3286092996927,1508.5102256462549
17,2016,5.6524614417367705,199.09995938007583,2806.9139596371515,1509.0245034919346
18,2017,4.174957067605708,203.27491644768153,2834.6748255266843,1509.4043535711726
19,2018,5.6160369532107195,208.89095340089224,2872.0179756870652,1509.9153174079586
20,2019,4.012905377259259,212.90385877815152,2898.7012987012986,1510.2804235397928
21,2020,2.296435502744296,215.2002942808958,2913.971165428864,1510.4893601093327
22,2021,4.844122239207549,220.04441652010334,2946.181563202431,1510.9300928370244
23,2022,4.578144809972677,224.62256133007602,2976.6233766233768,1511.3466261427977
